model,task,fold,metric,value,data_split,ssp
p2s,localization,0.0,eval_loss,0.8045176267623901,cross-validation,NA
p2s,localization,0.0,eval_accuracy,0.7366037735849057,cross-validation,NA
p2s,localization,0.0,eval_precision,0.7580106326834318,cross-validation,NA
p2s,localization,0.0,eval_recall,0.7366037735849057,cross-validation,NA
p2s,localization,0.0,eval_f1,0.7384157765646006,cross-validation,NA
p2s,localization,0.0,eval_mcc,0.6718547835266293,cross-validation,NA
p2s,localization,0.0,eval_runtime,6.5804,cross-validation,NA
p2s,localization,0.0,eval_samples_per_second,201.356,cross-validation,NA
p2s,localization,0.0,eval_steps_per_second,201.356,cross-validation,NA
p2s,localization,0.0,epoch,7.0,cross-validation,NA
p2s,localization,1.0,eval_loss,0.7863627672195435,cross-validation,NA
p2s,localization,1.0,eval_accuracy,0.7418867924528302,cross-validation,NA
p2s,localization,1.0,eval_precision,0.7323723840827462,cross-validation,NA
p2s,localization,1.0,eval_recall,0.7418867924528302,cross-validation,NA
p2s,localization,1.0,eval_f1,0.7346872681409636,cross-validation,NA
p2s,localization,1.0,eval_mcc,0.677278394976847,cross-validation,NA
p2s,localization,1.0,eval_runtime,5.8432,cross-validation,NA
p2s,localization,1.0,eval_samples_per_second,226.759,cross-validation,NA
p2s,localization,1.0,eval_steps_per_second,226.759,cross-validation,NA
p2s,localization,1.0,epoch,8.0,cross-validation,NA
p2s,localization,2.0,eval_loss,0.8001199960708618,cross-validation,NA
p2s,localization,2.0,eval_accuracy,0.7522658610271903,cross-validation,NA
p2s,localization,2.0,eval_precision,0.7819348960020631,cross-validation,NA
p2s,localization,2.0,eval_recall,0.7522658610271903,cross-validation,NA
p2s,localization,2.0,eval_f1,0.7479470959882003,cross-validation,NA
p2s,localization,2.0,eval_mcc,0.7008528172012677,cross-validation,NA
p2s,localization,2.0,eval_runtime,6.0703,cross-validation,NA
p2s,localization,2.0,eval_samples_per_second,218.113,cross-validation,NA
p2s,localization,2.0,eval_steps_per_second,218.113,cross-validation,NA
p2s,localization,2.0,epoch,7.0,cross-validation,NA
p2s,localization,3.0,eval_loss,0.8800716400146484,cross-validation,NA
p2s,localization,3.0,eval_accuracy,0.7235649546827795,cross-validation,NA
p2s,localization,3.0,eval_precision,0.7631545081644519,cross-validation,NA
p2s,localization,3.0,eval_recall,0.7235649546827795,cross-validation,NA
p2s,localization,3.0,eval_f1,0.7259538713129438,cross-validation,NA
p2s,localization,3.0,eval_mcc,0.6648181934606127,cross-validation,NA
p2s,localization,3.0,eval_runtime,5.9883,cross-validation,NA
p2s,localization,3.0,eval_samples_per_second,221.096,cross-validation,NA
p2s,localization,3.0,eval_steps_per_second,221.096,cross-validation,NA
p2s,localization,3.0,epoch,7.0,cross-validation,NA
p2s,localization,4.0,eval_loss,0.8675520420074463,cross-validation,NA
p2s,localization,4.0,eval_accuracy,0.7401812688821753,cross-validation,NA
p2s,localization,4.0,eval_precision,0.7298034959071988,cross-validation,NA
p2s,localization,4.0,eval_recall,0.7401812688821753,cross-validation,NA
p2s,localization,4.0,eval_f1,0.7282077440508236,cross-validation,NA
p2s,localization,4.0,eval_mcc,0.6714563783458692,cross-validation,NA
p2s,localization,4.0,eval_runtime,6.218,cross-validation,NA
p2s,localization,4.0,eval_samples_per_second,212.931,cross-validation,NA
p2s,localization,4.0,eval_steps_per_second,212.931,cross-validation,NA
p2s,localization,4.0,epoch,9.0,cross-validation,NA
p2s,localization,,eval_loss,0.8018133640289307,test,NA
p2s,localization,,eval_accuracy,0.7269272529858849,test,NA
p2s,localization,,eval_precision,0.7113092264460519,test,NA
p2s,localization,,eval_recall,0.7269272529858849,test,NA
p2s,localization,,eval_f1,0.7163634633102952,test,NA
p2s,localization,,eval_mcc,0.6613878604561163,test,NA
p2s,localization,,eval_runtime,8.1735,test,NA
p2s,localization,,eval_samples_per_second,225.363,test,NA
p2s,localization,,eval_steps_per_second,225.363,test,NA
p2s,localization,,epoch,7.0,test,NA
p2s,fluorescence,0.0,eval_loss,0.4466432631015777,cross-validation,NA
p2s,fluorescence,0.0,eval_spearmanr,0.6742018979343678,cross-validation,NA
p2s,fluorescence,0.0,eval_runtime,21.8527,cross-validation,NA
p2s,fluorescence,0.0,eval_samples_per_second,245.37,cross-validation,NA
p2s,fluorescence,0.0,eval_steps_per_second,245.37,cross-validation,NA
p2s,fluorescence,0.0,epoch,7.0,cross-validation,NA
p2s,fluorescence,1.0,eval_loss,0.43895423412323,cross-validation,NA
p2s,fluorescence,1.0,eval_spearmanr,0.6549424442374048,cross-validation,NA
p2s,fluorescence,1.0,eval_runtime,21.9643,cross-validation,NA
p2s,fluorescence,1.0,eval_samples_per_second,244.123,cross-validation,NA
